dataset,bias,samples,baseline_accuracy,biased_accuracy,accuracy_impact,baseline_tests_requested_count,biased_tests_requested_count,tests_requested_count_impact,baseline_diagnoses_considered_count,biased_diagnoses_considered_count,diagnoses_considered_count_impact,baseline_disagreements,biased_disagreements,disagreements_impact
MedQA,omission,25,68.0,84.0,16.0,1.24,1.48,0.24,6.16,6.2,0.040000000000000036,0.08,0.16,0.08
MedQA,outcome,25,68.0,68.0,0.0,1.24,1.36,0.1200000000000001,6.16,7.48,1.3200000000000003,0.08,0.04,-0.04
MedQA,overconfidence,25,68.0,84.0,16.0,1.24,1.36,0.1200000000000001,6.16,6.6,0.4399999999999995,0.08,0.0,-0.08
MedQA,premature_closure,25,68.0,72.0,4.0,1.24,1.2,-0.040000000000000036,6.16,5.68,-0.4800000000000004,0.08,0.08,0.0
MedQA,race,25,68.0,76.0,8.0,1.24,1.2,-0.040000000000000036,6.16,6.28,0.1200000000000001,0.08,0.04,-0.04
MedQA,recency,25,68.0,60.0,-8.0,1.24,1.16,-0.08000000000000007,6.16,7.32,1.1600000000000001,0.08,0.04,-0.04
MedQA,religion,25,68.0,60.0,-8.0,1.24,1.2,-0.040000000000000036,6.16,6.44,0.28000000000000025,0.08,0.04,-0.04
MedQA,representativeness,25,68.0,76.0,8.0,1.24,1.36,0.1200000000000001,6.16,5.92,-0.2400000000000002,0.08,0.04,-0.04
MedQA,sexual_orientation,25,68.0,72.0,4.0,1.24,0.92,-0.31999999999999995,6.16,5.8,-0.3600000000000003,0.08,0.04,-0.04
MedQA,socioeconomic,25,68.0,68.0,0.0,1.24,1.4,0.15999999999999992,6.16,5.84,-0.3200000000000003,0.08,0.04,-0.04
MedQA,status_quo,25,68.0,72.0,4.0,1.24,1.08,-0.15999999999999992,6.16,6.68,0.5199999999999996,0.08,0.16,0.08
MedQA,sunk_cost,25,68.0,68.0,0.0,1.24,1.12,-0.11999999999999988,6.16,6.04,-0.1200000000000001,0.08,0.12,0.039999999999999994
MedQA,suttons_slip,25,68.0,64.0,-4.0,1.24,1.24,0.0,6.16,6.96,0.7999999999999998,0.08,0.0,-0.08
MedQA,vertical_line_failure,25,68.0,72.0,4.0,1.24,1.48,0.24,6.16,5.76,-0.40000000000000036,0.08,0.08,0.0
MedQA,weight,25,68.0,80.0,12.0,1.24,1.28,0.040000000000000036,6.16,5.16,-1.0,0.08,0.04,-0.04
MedQA,zebra_retreat,25,68.0,60.0,-8.0,1.24,1.4,0.15999999999999992,6.16,6.16,0.0,0.08,0.08,0.0
NEJM,affective,25,28.000000000000004,28.000000000000004,0.0,1.16,1.52,0.3600000000000001,7.24,8.88,1.6400000000000006,0.0,0.04,0.04
NEJM,age,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.44,0.28,7.24,7.4,0.16000000000000014,0.0,0.04,0.04
NEJM,aggregate,25,28.000000000000004,36.0,7.9999999999999964,1.16,1.28,0.1200000000000001,7.24,7.2,-0.040000000000000036,0.0,0.08,0.08
NEJM,anchoring,25,28.000000000000004,44.0,15.999999999999996,1.16,1.64,0.48,7.24,7.16,-0.08000000000000007,0.0,0.0,0.0
NEJM,availability,25,28.000000000000004,20.0,-8.000000000000004,1.16,1.72,0.56,7.24,9.36,2.119999999999999,0.0,0.04,0.04
NEJM,bandwagon,25,28.000000000000004,20.0,-8.000000000000004,1.16,1.24,0.08000000000000007,7.24,8.52,1.2799999999999994,0.0,0.0,0.0
NEJM,commission,25,28.000000000000004,24.0,-4.0000000000000036,1.16,1.24,0.08000000000000007,7.24,8.72,1.4800000000000004,0.0,0.12,0.12
NEJM,confirmation,25,28.000000000000004,48.0,19.999999999999996,1.16,1.36,0.20000000000000018,7.24,7.92,0.6799999999999997,0.0,0.12,0.12
NEJM,cultural,25,28.000000000000004,36.0,7.9999999999999964,1.16,1.6,0.44000000000000017,7.24,8.24,1.0,0.0,0.08,0.08
NEJM,diagnosis_momentum,25,28.000000000000004,36.0,7.9999999999999964,1.16,1.24,0.08000000000000007,7.24,8.56,1.3200000000000003,0.0,0.12,0.12
NEJM,disability,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.36,0.20000000000000018,7.24,7.28,0.040000000000000036,0.0,0.08,0.08
NEJM,education,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.44,0.28,7.24,8.4,1.1600000000000001,0.0,0.12,0.12
NEJM,false_consensus,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.4,0.24,7.24,8.64,1.4000000000000004,0.0,0.04,0.04
NEJM,frequency,25,28.000000000000004,28.000000000000004,0.0,1.16,1.48,0.32000000000000006,7.24,6.32,-0.9199999999999999,0.0,0.0,0.0
NEJM,gamblers_fallacy,25,28.000000000000004,24.0,-4.0000000000000036,1.16,1.28,0.1200000000000001,7.24,8.88,1.6400000000000006,0.0,0.16,0.16
NEJM,gender,25,28.000000000000004,36.0,7.9999999999999964,1.16,1.52,0.3600000000000001,7.24,7.8,0.5599999999999996,0.0,0.12,0.12
NEJM,mental_health,25,28.000000000000004,44.0,15.999999999999996,1.16,1.76,0.6000000000000001,7.24,8.24,1.0,0.0,0.04,0.04
NEJM,omission,25,28.000000000000004,28.000000000000004,0.0,1.16,1.32,0.16000000000000014,7.24,8.72,1.4800000000000004,0.0,0.24,0.24
NEJM,outcome,25,28.000000000000004,36.0,7.9999999999999964,1.16,1.2,0.040000000000000036,7.24,8.56,1.3200000000000003,0.0,0.08,0.08
NEJM,overconfidence,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.4,0.24,7.24,9.24,2.0,0.0,0.16,0.16
NEJM,premature_closure,25,28.000000000000004,20.0,-8.000000000000004,1.16,1.44,0.28,7.24,7.48,0.2400000000000002,0.0,0.04,0.04
NEJM,race,25,28.000000000000004,20.0,-8.000000000000004,1.16,1.72,0.56,7.24,7.4,0.16000000000000014,0.0,0.08,0.08
NEJM,recency,25,28.000000000000004,40.0,11.999999999999996,1.16,1.4,0.24,7.24,7.52,0.27999999999999936,0.0,0.04,0.04
NEJM,religion,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.56,0.40000000000000013,7.24,7.96,0.7199999999999998,0.0,0.28,0.28
NEJM,representativeness,25,28.000000000000004,48.0,19.999999999999996,1.16,1.72,0.56,7.24,7.8,0.5599999999999996,0.0,0.0,0.0
NEJM,sexual_orientation,25,28.000000000000004,28.000000000000004,0.0,1.16,1.36,0.20000000000000018,7.24,8.92,1.6799999999999997,0.0,0.04,0.04
NEJM,socioeconomic,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.52,0.3600000000000001,7.24,7.84,0.5999999999999996,0.0,0.08,0.08
NEJM,status_quo,25,28.000000000000004,28.000000000000004,0.0,1.16,1.48,0.32000000000000006,7.24,9.0,1.7599999999999998,0.0,0.04,0.04
NEJM,sunk_cost,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.6,0.44000000000000017,7.24,7.68,0.4399999999999995,0.0,0.0,0.0
NEJM,suttons_slip,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.48,0.32000000000000006,7.24,8.48,1.2400000000000002,0.0,0.12,0.12
NEJM,vertical_line_failure,25,28.000000000000004,32.0,3.9999999999999964,1.16,1.52,0.3600000000000001,7.24,7.08,-0.16000000000000014,0.0,0.0,0.0
NEJM,weight,25,28.000000000000004,28.000000000000004,0.0,1.16,1.12,-0.039999999999999813,7.24,8.76,1.5199999999999996,0.0,0.0,0.0
NEJM,zebra_retreat,25,28.000000000000004,40.0,11.999999999999996,1.16,1.64,0.48,7.24,7.16,-0.08000000000000007,0.0,0.08,0.08
